ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM,risco_evasao,classificacao,predicao
2021,2014.0,,1,,Avaliador-13,Avaliador-3,,,,,17.0,68.0,2.0,0.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,ALFA  (2º e 3º ano),Masculino,10.0,10.0,8.0,12.0,9.3,,7.7730935185,8.264,7.5595,Não,6.7,Rede Decisão,7.5,5.6,8.667,7.8,2.0,,Ametista,Ametista,Topázio,Topázio,,8.2,Promovido de Fase,Promovido de Fase,Não avaliado,,Requer avaliação,O,8.264,,0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.991653834573595,Alto,1
2019,2009.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,2.0,13.0,1.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 3 (7º e 8º ano),Masculino,10.0,10.0,7.2,12.0,9.4,,7.7730935185,8.74,7.5595,Não,6.3,Rede Decisão,7.5,8.8,8.5,8.0,4.0,Topázio,Ametista,Ametista,Topázio,Topázio,,7.2,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Não atendido,A,8.74,Topázio,0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,0.9904974310865841,Alto,1
2019,2005.0,,1,,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,,,7.0,177.0,7.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,6.0,Fase 7 (3º EM),Feminino,9.2,5.0,6.8,12.0,9.0,,7.7730935185,7.876,7.5595,Não,7.8,Rede Decisão,7.5,6.9,8.944,8.5,4.0,Topázio,Ametista,Ametista,Ametista,Ametista,,4.3,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,A,7.876,Topázio,1,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.9898185772463691,Alto,1
2022,2008.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,19.0,121.0,6.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 4 (9º ano),Feminino,10.0,5.0,7.8,12.0,9.0,,7.7730935185,8.084,7.5595,Sim,8.8,Escola Pública,7.5,7.5,8.417,6.8,4.0,,Ametista,Ametista,,Topázio,,7.7,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não atendido,F,8.084,,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9892133918631788,Alto,1
2022,2014.0,,1,,Avaliador-11,Avaliador-3,,,,,3.0,28.0,1.0,0.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,ALFA  (2º e 3º ano),Feminino,10.0,10.0,8.5,12.0,9.6,,7.7730935185,8.616,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.5,8.8,2.0,,Ametista,Ametista,,Topázio,,8.2,Promovido de Fase,Mantido na Fase atual,Não avaliado,,Não atendido,Z,8.616,,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9889967264804738,Alto,1
2022,2013.0,,1,,Avaliador-11,Avaliador-3,,,,,18.0,71.0,3.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Feminino,9.5,5.0,9.7,12.0,9.3,,7.7730935185,8.26,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.5,9.9,2.0,,Ametista,Ametista,,Topázio,,9.6,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,,Não atendido,K,8.26,,1,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.9884714156681969,Alto,1
2022,2013.0,,1,,Avaliador-13,Avaliador-3,,,,,14.0,54.0,1.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Masculino,9.5,5.0,8.2,12.0,10.0,,7.7730935185,8.34,7.5595,Não,6.7,Escola Pública,7.5,7.5,9.25,7.8,2.0,,Ametista,Ametista,,Topázio,,8.5,Promovido de Fase,Promovido de Fase,Não avaliado,,Não atendido,O,8.34,,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.98662132401574,Alto,1
2018,2008.0,,1,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,1.0,18.0,1.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4.0,Fase 4 (9º ano),Feminino,9.2,10.0,7.3,12.0,8.9,,7.7730935185,8.673,7.5595,Não,8.1,Rede Decisão,7.5,9.4,8.917,6.0,4.0,Ametista,Ametista,Ametista,Topázio,Topázio,,7.7,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,P,8.673,Ametista,1,2.0,2.0,2.0,3.0,3.0,0.0,2.0,0.9854680087862222,Alto,1
2021,2014.0,,1,,Avaliador-13,Avaliador-3,,,,,13.0,52.0,1.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,ALFA  (2º e 3º ano),Feminino,10.0,10.0,7.3,12.0,9.4,,7.7730935185,8.358,7.5595,Não,6.7,Escola Pública,7.5,7.5,8.583,7.7,2.0,,Ametista,Ametista,Ametista,Topázio,,6.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,,Não atendido,B,8.358,,1,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.98542639637582,Alto,1
2016,2007.0,,1,,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,,,4.0,6.0,3.0,0.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,5.0,Fase 5 (1º EM),Feminino,8.3,10.0,8.5,12.0,9.7,,7.7730935185,8.941,7.5595,Não,8.4,Rede Decisão,7.5,8.1,9.083,8.8,4.0,Ametista,Ametista,Ametista,Topázio,Topázio,,8.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,L,8.941,Ametista,1,2.0,2.0,2.0,3.0,3.0,0.0,2.0,0.9828250370054219,Alto,1
