ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,data_nascimento,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,nome_anonimizado,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,ra,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
2024,2011,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2011-10-28 00:00:00,-2.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1P,Fase 3 (7° e 8° ano),Feminino,9.002,5.0,6.0,13,9.5346320345,,7.466126406900001,,,nan,,Pública,7.5,7.51,7.29,6.0,Aluno-1448,4.0,nan,,Ametista,nan,nan,nan,6.0,RA-1448,nan,nan,,,nan,1P,7.466126406900001,nan,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2023,2012,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2012-08-28 00:00:00,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,1P,Fase 2 (5° e 6° ano),Masculino,9.002,5.0,2.25,12,9.3073593075,,6.287171861500001,,6.939033333,nan,,Pública,6.875,5.635,6.6225,4.5,Aluno-1070,4.0,nan,,Agata,nan,nan,Agata,0.0,RA-1070,nan,nan,,,nan,1P,6.287171861500001,nan,0.0,0.0,2.0,0.0,0.0,2.0,0.0
2023,2015,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2015-08-23 00:00:00,0.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1P,Fase 1 (3° e 4° ano),Masculino,8.502,10.0,7.5,9,10.0,,8.2432,,7.6247,nan,,Pública,7.5,6.26,7.585,8.0,Aluno-985,4.0,nan,,Topázio,nan,nan,Ametista,7.0,RA-985,nan,nan,,,nan,1P,8.2432,nan,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2015-06-15 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1P,Fase 1 (3° e 4° ano),Feminino,10.002,10.0,8.5,9,9.2965367965,,8.2603406926,,8.0107,nan,,Pública,7.083333333,6.26,6.8325,7.5,Aluno-986,4.0,nan,,Topázio,nan,nan,Topázio,9.5,RA-986,nan,nan,,,nan,1P,8.2603406926,nan,0.0,0.0,4.0,0.0,0.0,4.0,0.0
2021,2014,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2014-05-31 00:00:00,-1.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1P,Fase 2 (5° e 6° ano),Masculino,7.502,5.0,9.0,10,9.4736842105,,7.704770175400001,7.886571512820513,7.782866667,nan,,Pública,6.458333333,5.635,7.7525,8.0,Aluno-810,4.0,nan,,Ametista,Ametista,Ametista,Ametista,10.0,RA-810,nan,nan,,,nan,1P,7.704770175400001,nan,0.0,0.0,3.0,3.0,3.0,3.0,0.0
2023,2015,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2015-07-26 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1P,Fase 1 (3° e 4° ano),Masculino,9.002,10.0,7.5,9,9.0692640695,,8.3028861472,,7.6765,nan,,Pública,7.708333333,7.51,7.835,8.0,Aluno-987,4.0,nan,,Topázio,nan,nan,Ametista,7.0,RA-987,nan,nan,,,nan,1P,8.3028861472,nan,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2023,2014,2024,0,Cursando,Avaliador-3,Avaliador-18,Avaliador-17,Avaliador-15,nan,nan,,,,2014-05-02 00:00:00,-1.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1P,Fase 2 (5° e 6° ano),Feminino,9.502,5.0,7.75,10,10.0,,8.1765333333,,7.9568,nan,,Pública,8.333333333,7.51,7.96,6.5,Aluno-988,4.0,nan,,Topázio,nan,nan,Ametista,9.0,RA-988,nan,nan,,,nan,1P,8.1765333333,nan,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2021,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-06-14 00:00:00,-1.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 2 (5° e 6° ano),Masculino,8.502,5.0,6.0,10,9.523809524,,6.9375869048,8.27865517948718,6.492,nan,,Pública,7.03125,4.38,6.7075,7.0,Aluno-805,4.0,nan,,Agata,Ametista,Topázio,Agata,5.0,RA-805,nan,nan,,,nan,1R,6.9375869048,nan,0.0,0.0,2.0,3.0,4.0,2.0,0.0
2022,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-02-28 00:00:00,-1.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 2 (5° e 6° ano),Masculino,8.502,5.0,6.75,10,6.9047619045,,6.972777380900001,7.560770897435898,7.2937,nan,,Pública,7.65625,7.51,6.875,6.5,Aluno-806,4.0,nan,,Agata,nan,Ametista,Ametista,7.0,RA-806,nan,nan,,,nan,1R,6.972777380900001,nan,0.0,0.0,2.0,0.0,3.0,3.0,0.0
2022,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-07-22 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 1 (3° e 4° ano),Masculino,9.002,10.0,7.0,10,7.8571428569999995,,7.797628571400001,8.121155846153847,7.8632,nan,,Pública,7.5,7.51,7.125,6.0,Aluno-807,4.0,nan,,Ametista,nan,Topázio,Ametista,8.0,RA-807,nan,nan,,,nan,1R,7.797628571400001,nan,0.0,0.0,3.0,0.0,4.0,3.0,0.0
2022,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-09-27 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 1 (3° e 4° ano),Masculino,9.002,10.0,8.75,10,10.0,,8.7897,8.361187897435897,8.1932,nan,,Pública,8.125,7.51,7.88,7.5,Aluno-808,4.0,nan,,Topázio,nan,Topázio,Topázio,10.0,RA-808,nan,nan,,,nan,1R,8.7897,nan,0.0,0.0,4.0,0.0,4.0,4.0,0.0
2023,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-09-05 00:00:00,0.0,nan,nan,nan,EE Helio Luiz Dobrochinski Prof,1R,Fase 1 (3° e 4° ano),Feminino,7.502,10.0,7.5,10,9.761904762,,8.375080952400001,,8.6142,nan,,Pública,8.125,7.51,8.045,5.0,Aluno-963,4.0,nan,,Topázio,nan,nan,Topázio,10.0,RA-963,nan,nan,,,nan,1R,8.375080952400001,nan,0.0,0.0,4.0,0.0,0.0,4.0,0.0
2023,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-09-18 00:00:00,0.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 1 (3° e 4° ano),Masculino,9.502,10.0,6.0,10,7.8571428569999995,,7.3743785714,,7.7242,nan,,Pública,7.1875,6.26,6.54,6.0,Aluno-989,4.0,nan,,Ametista,nan,nan,Ametista,6.0,RA-989,nan,nan,,,nan,1R,7.3743785714,nan,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2023,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-04-30 00:00:00,-1.0,nan,nan,nan,EM Juvenal Coutinho,1R,Fase 2 (5° e 6° ano),Masculino,9.502,5.0,7.25,10,8.333333332999999,,7.548241666600001,,7.7997,nan,,Pública,7.96875,7.51,7.1675,7.5,Aluno-964,4.0,nan,,Ametista,nan,nan,Ametista,7.0,RA-964,nan,nan,,,nan,1R,7.548241666600001,nan,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2024,2014,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2014-06-27 00:00:00,-1.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 2 (5° e 6° ano),Feminino,7.418,5.0,6.75,10,8.3333333335,,7.214341666700001,,,nan,,Pública,7.96875,7.51,7.04,6.5,Aluno-1449,4.0,nan,,Ametista,nan,nan,nan,7.0,RA-1449,nan,nan,,,nan,1R,7.214341666700001,nan,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2022,2013,2024,0,Cursando,Avaliador-18,Avaliador-17,Avaliador-15,Avaliador-2,nan,nan,,,,2013-12-11 00:00:00,-1.0,nan,nan,nan,EE Luiz Schunck,1R,Fase 2 (5° e 6° ano),Masculino,9.002,5.0,8.0,11,5.75,,6.6752,6.6443414183535765,6.8735,nan,,Pública,6.25,7.51,5.745,7.0,Aluno-801,4.0,nan,,Agata,nan,Ágata,Agata,9.0,RA-801,nan,nan,,,nan,1R,6.6752,nan,0.0,0.0,2.0,0.0,2.0,2.0,0.0
